region,riverBasin,Variable,2020,2060
South America_Southern,ArgColoR,Unmanaged_Pasture,0.0293297,0.0290893
Argentina,ArgCstN,Cropland,8.99702506,10.75989384
Argentina,ArgCstN,Managed_Forest,0,0
Argentina,ArgCstN,Unmanaged_Forest,0,0
Argentina,ArgCstN,Grassland,2.508333,2.291333
Argentina,ArgCstN,OtherArable,3.95971,3.35115
Argentina,ArgCstN,OtherNotArable,0.036574745,0.036574745
Argentina,ArgCstN,Managed_Pasture,0.531806,0.697498
Argentina,ArgCstN,Unmanaged_Pasture,6.250152,5.152272
Argentina,ArgCstN,Shrubland,0.05939004,0.05425224
Argentina,ArgCstS,Cropland,0.013147369,0.029418703
Argentina,ArgCstS,Managed_Forest,0.0982796,0.11409
Argentina,ArgCstS,Unmanaged_Forest,0.6416441,0.6347964
Argentina,ArgCstS,Grassland,23.4075,23.26118
Argentina,ArgCstS,OtherArable,0.0303957,0.0255565
Argentina,ArgCstS,OtherNotArable,1.9329518,1.9329518
Argentina,ArgCstS,Managed_Pasture,1.31222,1.6177
Argentina,ArgCstS,Unmanaged_Pasture,15.776007,15.597219
Argentina,ArgCstS,Shrubland,0.12393615,0.12316147
EU-15,ArgCstS,Grassland,0.7643712,0.7643712
EU-15,ArgCstS,OtherNotArable,3.10E-05,3.10E-05
South America_Southern,ArgCstS,Cropland,0.004793627,0.004782313
South America_Southern,ArgCstS,Managed_Forest,0.00132159,0.00183436
South America_Southern,ArgCstS,Unmanaged_Forest,0.02446245,0.02433524
South America_Southern,ArgCstS,Grassland,1.435832,1.433946
South America_Southern,ArgCstS,OtherArable,0.00112938,0.00110548
South America_Southern,ArgCstS,OtherNotArable,0.115174,0.115174
South America_Southern,ArgCstS,Managed_Pasture,0.00679948,0.010121
South America_Southern,ArgCstS,Unmanaged_Pasture,0.5177922,0.5160115
South America_Southern,ArgCstS,Shrubland,0.004208089,0.004202563
USA,ArkWhtRedR,Cropland,9.014834045,10.8586781
USA,ArkWhtRedR,Managed_Forest,2.11847,3.00991
USA,ArkWhtRedR,Unmanaged_Forest,7.05537,6.718
USA,ArkWhtRedR,Grassland,5.76006,5.65592
USA,ArkWhtRedR,OtherArable,6.88806,6.48537
USA,ArkWhtRedR,OtherNotArable,0.417356,0.417356
USA,ArkWhtRedR,Managed_Pasture,0.294327,0.414188
USA,ArkWhtRedR,Unmanaged_Pasture,31.6639,29.6716
USA,ArkWhtRedR,Shrubland,1.02825,1.00966
Australia_NZ,AusCstE,Cropland,4.732034682,6.631223368
Australia_NZ,AusCstE,Managed_Forest,2.67603,3.74194
Australia_NZ,AusCstE,Unmanaged_Forest,8.598882287,8.127600938
Australia_NZ,AusCstE,Grassland,16.33585289,15.94152504
Australia_NZ,AusCstE,OtherArable,5.381900978,4.920059904
Australia_NZ,AusCstE,OtherNotArable,0.778461,0.778461
Australia_NZ,AusCstE,Managed_Pasture,0.56079093,0.90053086
