GLU_Name,reg_id,basin_id,key,reg_nm,Reg8,EmissionType,MaxLine,MinLine,LineType
ArabianSea,21,104,21104,Middle East,ROW,Zero,,,
ArcticIsl,16,1,16001,European Free Trade Association,ROW,Zero,,,
ArcticIsl,23,1,23001,Russia,ROW,Zero,,,
ArgColoR,26,212,26212,South America_Southern,XLM,Zero,,,
ArgCstS,13,215,13215,EU-15,EUR,Zero,,,
ArgCstS,26,215,26215,South America_Southern,XLM,Zero,,,
AusCstS,6,202,6202,Australia_NZ,XAS,Zero,,,
BlackSeaS,23,70,23070,Russia,ROW,Zero,,,
BorneoCstN,18,159,18159,Indonesia,XAS,Zero,,,
BrzCstS,26,195,26195,South America_Southern,XLM,Zero,,,
California,20,217,20217,Mexico,XLM,Zero,,,
Caribbean,1,101,1101,USA,USA,Zero,,,
CaspianSW,23,72,23072,Russia,ROW,Zero,,,
ChileCstN,31,207,31207,Argentina,XLM,Zero,,,
ChileCstN,26,207,26207,South America_Southern,XLM,Zero,,,
ChinaCst,30,78,30078,Taiwan,XAS,Zero,,,
ChurchillR,8,34,8034,Canada,ROW,Zero,,,
CntAmer,20,135,20135,Mexico,XLM,Zero,,,
DanubeR,16,54,16054,European Free Trade Association,ROW,Zero,,,
DniesterR,12,49,12049,EU-12,EUR,Zero,,,
DnkGrmCst,12,21,12021,EU-12,EUR,Zero,,,
EJrdnSyr,15,99,15099,Europe_Non_EU,ROW,Zero,,,
EJrdnSyr,21,99,21099,Middle East,ROW,Zero,,,
FarahrudR,21,90,21090,Middle East,ROW,Zero,,,
Finland,23,13,23013,Russia,ROW,Zero,,,
FlyR,18,181,18181,Indonesia,XAS,Zero,,,
FraserR,1,27,1027,USA,USA,Zero,,,
GangesR,11,110,11110,China,CHN,Zero,,,
GangesR,29,110,29110,Southeast Asia,XAS,Zero,,,
Gobi,23,42,23042,Russia,ROW,Zero,,,
GreatBasin,1,222,1222,USA,USA,Zero,,,
HamuMashR,21,102,21102,Middle East,ROW,Zero,,,
Hawaii,1,234,1234,USA,USA,Zero,,,
Helmand,21,97,21097,Middle East,ROW,Zero,,,
IberiaCst,13,60,13060,EU-15,EUR,Zero,,,
IdnE,29,158,29158,Southeast Asia,XAS,Zero,,,
IndusR,11,89,11089,China,CHN,Zero,,,
Kalimantan,29,165,29165,Southeast Asia,XAS,Zero,,,
LaPuna,31,200,31200,Argentina,XLM,Zero,,,
LaPuna,26,200,26200,South America_Southern,XLM,Zero,,,
LBalkash,11,68,11068,China,CHN,Zero,,,
MagdalenaR,25,166,25166,South America_Northern,XLM,Zero,,,
MahiR,17,113,17113,India,XAS,Zero,,,
MeditE,13,75,13075,EU-15,EUR,Zero,,,
